year_idx,plot_id,plot_name,region_group,lai_total,cc_total,biomass_ag_t_ha,adult_density_ha,sapling_density_ha,sw_top_mean,sw_sub_mean,al_floor_mean,di_annual_mean,GDD_deciduous,GDD_evergreen,T_winter,trees_died,saplings_died,mortality_rate_pct,tree_age_max,tree_age_mean,sapling_age_max,sapling_age_mean,herb_biomass_kg,herb_lai_mean,saplings_established,trees_recruited,trees_stressed,saplings_stressed,f_env_tree_mean,f_env_sapling_mean
31,2,"SW3","LL",8.909,1.000,188.508,3477.778,2277.778,0.000,175.037,0.077,0.161,1195.926,1268.024,-3.124,3,29,0.949,31,24.990,18,6.132,70.499,0.457,32,3,17,54,0.312,0.221
32,0,"SW1","LL",12.978,1.000,570.472,7566.667,11.111,89.967,320.000,0.006,0.000,1082.799,1104.062,-4.093,13,0,1.873,32,28.784,3,3.000,88.983,0.577,0,0,64,1,0.349,0.017
32,1,"SW2","LL",12.259,1.000,446.437,5188.889,288.889,0.000,267.592,0.009,0.059,1091.407,1123.236,-3.487,7,5,1.477,32,28.281,18,8.577,86.140,0.559,1,1,40,19,0.351,0.090
32,2,"SW3","LL",8.453,1.000,190.400,3422.222,1922.222,0.000,124.888,0.062,0.380,1153.100,1180.918,-4.190,5,32,1.597,32,26.032,19,6.780,70.499,0.457,0,0,300,132,0.007,0.061
33,0,"SW1","LL",12.253,1.000,638.581,7444.444,0.000,13.417,318.617,0.006,0.000,1084.222,1113.685,-3.527,11,1,1.615,33,29.827,0,0.000,88.983,0.577,0,0,71,0,0.344,0.000
33,1,"SW2","LL",11.990,1.000,490.657,5077.778,155.556,0.000,231.694,0.008,0.079,1060.229,1086.948,-3.487,10,12,2.141,33,29.411,19,10.286,86.140,0.559,0,0,46,14,0.293,0.050
33,2,"SW3","LL",8.150,1.000,184.179,3300.000,1733.333,0.000,123.752,0.062,0.324,1132.313,1160.851,-2.724,11,24,3.571,33,27.037,20,7.436,69.553,0.451,7,0,289,101,0.008,0.089
34,0,"SW1","LL",12.847,1.000,704.969,7300.000,0.000,0.000,278.122,0.006,0.024,1021.154,1044.811,-3.860,13,0,1.940,34,30.913,0,0.000,88.983,0.577,0,0,67,0,0.320,0.000
34,1,"SW2","LL",12.368,1.000,534.772,4966.667,88.889,0.000,208.166,0.007,0.112,1132.938,1169.555,-2.854,10,7,2.188,34,30.472,16,9.750,86.140,0.559,1,0,39,7,0.313,0.092
34,2,"SW3","LL",7.560,1.000,170.972,3055.556,988.889,0.000,162.921,0.075,0.271,1236.843,1298.927,-1.824,23,92,7.718,34,27.967,14,5.247,69.628,0.452,26,1,264,1,0.015,0.279
35,0,"SW1","LL",12.316,1.000,773.707,7133.333,0.000,0.000,236.623,0.005,0.028,1019.085,1037.563,-3.393,15,0,2.283,35,31.984,0,0.000,88.983,0.577,0,0,62,0,0.310,0.000
35,1,"SW2","LL",11.612,1.000,565.242,4911.111,11.111,0.000,187.975,0.007,0.165,1131.066,1194.524,-2.687,5,7,1.119,35,31.518,2,2.000,86.140,0.559,0,0,61,1,0.189,0.000
35,2,"SW3","LL",8.453,1.000,187.630,3044.444,2200.000,0.000,199.886,0.096,0.137,1200.725,1275.044,-2.290,1,1,0.364,35,28.956,15,3.359,69.772,0.453,110,0,8,8,0.328,0.372
36,0,"SW1","LL",12.808,1.000,843.852,7044.444,0.000,0.000,255.080,0.005,0.000,1009.596,1024.410,-3.427,8,0,1.246,36,33.006,0,0.000,88.983,0.577,0,0,61,0,0.312,0.000
